season,player_id,guid,player_name,age,school_abbr,total_qbr,points_added,qb_plays,total_epa,pass,run,exp_sack,penalty,raw_qbr,sack
2005,120888,2d388105a4991d69f02f031db04bdaa0,Paul Pinegar,24,FRES,68.8,39,517,50.1,59.9,-0.6,-8.1,0.1,68.7,-9.6
2005,133680,99339cd76993b1402c0147e265c6f628,John Stocco,25,WISC,68.2,21.6,449,36.1,51.6,6.1,-20.5,1.3,62.2,-22.9
2005,113717,e013677961c55844bd08fdc36effb5c3,Marques Hagans,23,UVA,67.4,15.9,500,35.2,34,20.3,-19.8,1.7,58.2,-20.9
2005,138583,75868895de536f7ce662727ccdad7b6a,Reggie McNeal,22,TA&M,66.9,21.7,408,32.5,14.6,23.1,-5.2,0.6,63.5,-5.7
2005,145275,ad326006f10fbaa668f31e6a4eefda8d,Colt Brennan,25,HAW,66.4,59.5,662,73.4,79.1,5.2,-17.1,5.9,71.8,-17.1
2005,134972,ee02e5ea7cad37588ff29cfd6cca00af,Brandon Cox,25,AUB,65.7,2.7,385,17.7,34.9,-3,-13,0.2,51.8,-14.4
2005,156973,48aaff9863ca0ec7c46577280b728dc6,Brian Johnson,22,UTAH,64.4,26.9,519,46.5,53.9,11,-15.4,-0.3,63.1,-17.8
2005,148066,395352b5282afb79a4e3712a4fb4fbc7,John Beck,27,BYU,63.6,26,656,45.2,56.1,3.8,-13.6,-0.8,60.1,-13.6
2005,118234,5e14dd0bbd3450bc0fbc4194ea849136,Cody Hodges,23,TTU,63.5,17.4,701,40,54.3,4.4,-19.7,4.1,56.4,-22.8
2005,146755,35a9c3f020cecde1433aa0b663eb1383,JaMarcus Russell,23,LSU,63.4,7.1,421,24.5,39.8,0.3,-15.4,2.3,54.4,-18
2005,160898,84acd5b740f360ac73a89b96c0bfe022,Chad Henne,23,MICH,63.3,8.2,466,28,34.8,1.4,-12.5,5.4,54.6,-13.7
2005,146526,1ece43281a4a631d9029af3a886620f6,Chris Leak,23,FLA,63,6.6,527,25.1,44.5,1,-17.6,-1.2,53.2,-19.2
2005,133859,cf893f6efdf63e737ade6292f6c89bc7,Brandon Kirsch,22,PUR,61.9,8.8,328,20.1,16.9,4.9,-1.6,0,56.9,-1.6
2005,114338,a7bbfecc92be33f87ca0b56ff514d7f7,Bruce Gradkowski,34,TOL,61.9,37.4,431,47.4,38.8,15.3,-6.7,-0.1,71.1,-6.7
2005,145238,23e355f6b5fe116fc62ece4637aebf2f,Alex Brink,23,WSU,61.3,11.1,453,28.7,36.1,2,-10.9,2.4,56.3,-11.8
2005,115044,51e7789168761fe8fd8820b7387ba636,Darrell Hackney,23,UAB,60.8,27.1,476,44.6,50.5,3.3,-8.8,0.2,64.4,-9.3
2005,135377,ab450249a8c081f246097c8bcc5d0dab,Ryan Hart,22,RUTG,60.6,17.6,306,26.7,36.7,-0.9,-6.5,-0.3,64.5,-8.8
2005,147935,2aae660c961f2efa161eae4fa9c97c2c,Paul Smith,24,TLSA,60.2,26.7,523,48.1,53.7,11.5,-14.8,-0.8,63,-16.2
2005,137101,d49f2d3bb0198e7b69f9fbfaa3c94792,Trent Edwards,30,STAN,60.2,5.1,393,20.5,35.1,5.3,-19.5,0,53.4,-20
2005,120321,0a22cf1d5ef3f29b087ec62e950df176,Michael Robinson,23,PSU,59.4,0.2,502,20.4,19.9,6.4,-7.7,3.5,50.1,-9.3
2005,146486,d9bc18c7d960feb3ba7cb90154a0f33e,Kyle Wright,24,MIAMI,59.1,-4.3,410,13,38.6,-3.7,-20.8,0.4,47.3,-21.7
2005,116933,db682bfa85f19e48f4ef5f35fac4d96f,Rick Clausen,24,TENN,58.5,0.7,257,10.9,17,-0.1,-5.3,0,50.8,-6
2005,136579,efbfb0bc494ecaece4b0b10311f07c74,Isaiah Stanback,24,WASH,58.4,2.4,408,18.3,25.8,3.9,-12.7,1.8,51.6,-13.4
2005,116236,356e2a2bf39965e4af89ecacdabdd0ea,Matt Bohnet,23,EMU,58.3,30.4,460,42.6,42.6,5.9,-6.9,1.5,66.5,-7.1
2005,116481,a38694ce065a743533ae695b8374350e,Justin Holland,23,CSU,58.3,18.8,443,33.1,62.4,-13.1,-13.3,-1.8,60.9,-13.8
2005,137461,f71cc4feb82ff2e2804b79496eb35e44,Jeff Ballard,25,TCU,57.3,13.4,361,25.2,28.1,7.2,-10.3,0.9,59.5,-11.3
2005,128154,79c8a9cd853dd1f43337bb1b31b9a958,Brodie Croyle,23,ALA,56.4,-5.6,441,13.4,33.5,2.9,-22,-0.2,46.7,-22.8
2005,135136,29eca548b3a00e752b7165107cde66b7,Kole McKamey,24,UNM,56.3,14.8,384,27.7,27.4,4,-6.3,2.6,59.9,-6.3
2005,164361,83c04583eb690805d61374ac680fed82,Shaun Carney,23,AFA,56.1,11.8,351,26.5,29.5,2.1,-7.9,3.5,58.7,-8.6
